[0917/123741.813:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x47ac00c6a200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/123741.829:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x47ac00c6a200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/123805.421:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x75d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/123805.503:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x75d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/123805.517:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x75d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/123805.527:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x75d40040be00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/124339.405:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c0040d600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/124339.489:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c0040d600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/124339.500:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c0040d600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/124339.515:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x490c0040d600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/124953.702:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x114007dc600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/124953.781:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x114007dc600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/124953.799:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x114007dc600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/124953.815:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x114007dc600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/125344.770:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0xe7400c61e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125344.845:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0xe7400c61e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125344.858:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0xe7400c61e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125344.874:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0xe7400c61e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/125842.083:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2640040dc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/125842.156:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2640040dc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
